年度,居住地,細分,合計,飛機小計,飛機松山,飛機桃園,飛機臺中,飛機高雄,飛機其他,輪船小計,輪船基隆,輪船臺中,輪船高雄,輪船其他
102,亞洲地區,日本 Japan,"1,421,550","1,418,087","406,430","986,819",537,"24,289",12,"3,463",69,12,"1,793","1,589"
102,亞洲地區,韓國 Korea,"351,301","350,005","44,053","295,935",451,"9,564",2,"1,296",6,19,204,"1,067"
102,亞洲地區,香港.澳門 Hong Kong.Macao,"1,183,341","1,170,047","3,778","864,540",95699,"10,716","4,214","13,294","2,740",57,"3,738","6,759"
102,亞洲地區,中國大陸 China,"2,874,702","2,597,796","221,581","1,975,449","85,589","273,191","41,986","276,906","44,610","41,136","13,329","177,831"
102,亞洲地區,東南亞地區 越南 Vietnam,"118,467","116,627",73,"87,850","2,823","25,879",2,"1,840",16,5,"1,780",39
102,亞洲地區,東南亞地區 泰國 Thailand,"104,138","104,024",202,"96,334",76,"7,406",6,114,24,0,21,69
102,亞洲地區,東南亞地區 馬來西亞 Malaysia,"394,326","390,939","1,485","381,340",424,"7,669",21,"3,387",56,8,96,"3,227"
102,亞洲地區,東南亞地區 新加坡 Singapore,"364,733","361,318","2,585","345,986",293,"12,438",16,"3,415",9,19,554,"2,833"
102,亞洲地區,東南亞地區 菲律賓 Philippines,"99,698","93,605",184,"81,203",117,"12,099",2,"6,093",54,260,"5,231",548
102,亞洲地區,東南亞地區 印尼 Indonesia,"171,299","163,222",340,"139,645",162,"23,045",30,"8,077",53,55,"5,571","2,398"
102,亞洲地區,東南亞地區 東南亞其他地區 Others,"8,935","8,406",39,"7,554",15,798,0,529,6,50,430,43
102,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"1,261,596","1,238,141","4,908","1,139,912","3,910","89,334",77,"23,455",218,397,"13,683","9,157"
102,亞洲地區,印度 India,"23,318","22,443",180,"19,494",144,"2,621",4,875,2,47,634,192
102,亞洲地區,中東 Middle East,"13,918","13,810",315,"12,626",54,814,1,108,1,10,58,39
102,亞洲地區,亞洲其他 Others,"9,060","8,913",140,"8,167",17,586,3,147,0,6,123,18
102,亞洲地區,亞洲合計 Total,"7,138,786","6,819,242","681,385","5,302,942","186,401","602,215","46,299","319,544","47,646","41,684","33,562","196,652"
102,非洲地區,南非 S. Africa,"4,164","4,152",87,"3,605",54,400,6,12,1,0,2,9
102,非洲地區,非洲其他 Others,"4,631","4,569",59,"4,071",50,389,0,62,1,5,54,2
102,非洲地區,非洲合計 Total,"8,795","8,721",146,"7,676",104,789,6,74,2,5,56,11
102,美洲地區,美國 USA,"414,060","411,694","18,730","373,780","1,145","17,904",135,"2,366",47,73,222,113
102,美洲地區,加拿大 Canada,"72,693","71,900","2,420","62,041",665,"6,606",168,793,8,9,278,498
102,美洲地區,墨西哥 Mexico,"2,295","2,285",64,"2,061",10,150,0,10,6,0,3,1
102,美洲地區,阿根廷 Argentina,"1,124","1,114",33,983,7,91,0,10,0,2,2,6
102,美洲地區,巴西 Brazil,"3,940","3,925",163,"3,407",40,311,4,15,2,0,9,4
102,美洲地區,美洲其他 Others,"8,334","8,290",220,"7,645",17,408,0,44,3,2,18,21
102,美洲地區,美洲合計 Total,"502,446","499,208","21,630","449,917","1,884","25,470",307,"3,238",66,86,532,"2,554"
102,大洋洲地區,澳洲 Australia,"65,777","65,232","1,674","56,853",493,"6,110",102,545,1,9,122,413
102,大洋洲地區,紐西蘭 New Zealand,"10,694","10,597",304,"9,057",86,"1,131",19,97,1,3,24,69
102,大洋洲地區,大洋洲其他 Others,"1,251","1,216",47,"1,004",3,162,0,35,0,0,31,4
102,大洋洲地區,大洋洲合計 Total,"77,722","77,045",114,"66,914",582,"7,403",121,677,2,12,177,486
102,歐洲地區,比利時 Belgium,"4,756","4,739",164,"4,214",15,346,0,17,0,0,4,13
102,歐洲地區,法國 France,"32,384","32,212","1,441","28,382",198,"2,179",12,172,3,5,10,154
102,歐洲地區,德國 Germany,"46,533","46,296","1,625","40,788",206,"3,674",3,237,5,6,102,124
102,歐洲地區,義大利 Italy,"13,663","13,567",496,"11,572",126,"1,368",5,96,0,5,24,67
102,歐洲地區,荷蘭 Netherlands,"16,443","16,312",339,"14,940",45,981,7,131,2,10,32,87
102,歐洲地區,英國 U.K.,"42,438","41,907","1,204","35,669",543,"4,438",53,531,6,16,259,250
102,歐洲地區,西班牙 Spain,"7,128","7,055",264,"6,135",23,632,1,73,0,1,8,64
102,歐洲地區,瑞典 Sweden,"7,136","7,082",268,"6,267",28,515,4,54,2,0,5,47
102,歐洲地區,瑞士 Switzerland,"8,030","8,009",300,"7,101",43,562,3,21,0,0,4,17
102,歐洲地區,奧地利 Austria,"5,350","5,318",162,"4,621",44,491,0,32,1,0,0,31
102,歐洲地區,希臘 Greece,"1,167","1,029",30,701,8,290,0,138,0,15,98,25
102,歐洲地區,俄羅斯 Russian Federation,"7,226","7,090",100,"6,283",43,660,4,136,0,8,103,25
102,歐洲地區,歐洲其他 Others,"30,808","29,927",657,"25,436",324,"3,496",14,881,4,63,565,249
102,歐洲地區,歐洲合計 Total,"223,062","220,543","7,050","192,109","1,646","19,632",106,"2,519",23,129,"1,214","1,153"
102,全區,未列明 Unstated,"65,469","35,154","1,631","13,786","17,586","1,934",217,"30,315","21,719","1,214",755,"6,627"
102,全區,總計 Grand Total,"8,016,280","7,659,913","713,867","6,033,344","208,203","657,443","47,056","356,367","69,458","43,130","36,296","207,483"
103,亞洲地區,日本 Japan,"1,634,790","1,613,649","422,637","1,134,429","1,791","54,765",27,"21,141","8,760",24,298,"12,059"
103,亞洲地區,韓國 Korea,"527,684","524,083","58,855","423,968","11,734","29,519",7,"3,601","1,044",56,513,"1,988"
103,亞洲地區,香港.澳門 Hong Kong.Macao,"1,375,770","1,338,375","4,209","970,306",137208,"215,306","11,346","37,395","2,868",41,"17,432","17,054"
103,亞洲地區,中國大陸 China,"3,987,152","3,651,898","327,354","2,725,503","146,128","418,612","34,301","335,254","49,718","19,469","24,409","241,658"
103,亞洲地區,東南亞地區 越南 Vietnam,"137,177","135,121",60,"98,652","6,223","30,179",7,"2,056",133,16,"1,816",91
103,亞洲地區,東南亞地區 泰國 Thailand,"104,812","104,308",241,"95,744",163,"8,143",17,504,178,2,228,96
103,亞洲地區,東南亞地區 馬來西亞 Malaysia,"439,240","432,976","1,822","420,545","1,504","9,073",32,"6,264",840,9,"1,320","4,095"
103,亞洲地區,東南亞地區 新加坡 Singapore,"376,235","371,161","2,866","354,010","1,576","12,671",38,"5,074",329,23,913,"3,809"
103,亞洲地區,東南亞地區 菲律賓 Philippines,"136,978","127,300",252,"107,763",451,"18,821",13,"9,678","1,332",823,"6,531",992
103,亞洲地區,東南亞地區 印尼 Indonesia,"182,704","173,150",450,"147,316",506,"24,820",58,"9,554",285,133,"6,259","2,877"
103,亞洲地區,東南亞地區 東南亞其他地區 Others,"11,159","10,281",274,"9,027",49,931,0,878,39,163,499,177
103,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"1,388,305","1,354,297","5,965","1,233,057","10,472","104,638",165,"34,008","3,136","1,169","17,566","12,137"
103,亞洲地區,印度 India,"30,168","25,536",263,"21,788",526,"2,944",15,"4,632",170,146,"3,882",434
103,亞洲地區,中東 Middle East,"17,212","16,578",416,"15,164",185,811,2,634,277,13,289,55
103,亞洲地區,亞洲其他 Others,"9,105","8,819",93,"7,997",57,667,5,286,81,19,128,58
103,亞洲地區,亞洲合計 Total,"8,970,186","8,533,235","819,792","6,532,212","308,101","827,262","45,868","436,951","66,054","20,937","64,517","285,443"
103,非洲地區,南非 S. Africa,"4,504","4,370",74,"3,782",79,433,2,134,76,0,40,18
103,非洲地區,非洲其他 Others,"5,456","5,352",45,"4,749",132,420,6,104,40,2,53,9
103,非洲地區,非洲合計 Total,"9,960","9,722",119,"8,531",211,853,8,238,116,2,93,27
103,美洲地區,美國 USA,"458,691","445,006","19,038","402,184","4,252","19,174",358,"13,685","7,350",90,"1,526","4,719"
103,美洲地區,加拿大 Canada,"88,601","84,449","2,684","70,157","3,729","7,527",352,"4,152","1,903",7,"1,061","1,181"
103,美洲地區,墨西哥 Mexico,"3,172","2,742",78,"2,481",41,141,1,430,289,0,120,21
103,美洲地區,阿根廷 Argentina,"1,191","1,038",27,904,12,95,0,153,106,0,39,8
103,美洲地區,巴西 Brazil,"4,551","4,125",139,"3,661",70,245,10,426,211,0,197,18
103,美洲地區,美洲其他 Others,"9,169","8,816",217,"8,020",87,483,9,353,194,1,137,21
103,美洲地區,美洲合計 Total,"565,375","546,176","22,183","487,407","8,191","27,665",730,"19,199","10,053",98,"3,080","5,968"
103,大洋洲地區,澳洲 Australia,"78,674","71,936","1,743","60,980","2,342","6,709",162,"6,738","2,870",11,"2,649","1,208"
103,大洋洲地區,紐西蘭 New Zealand,"12,886","12,286",348,"10,361",376,"1,178",23,600,264,4,193,139
103,大洋洲地區,大洋洲其他 Others,"1,559","1,478",32,"1,317",12,116,1,81,2,0,71,8
103,大洋洲地區,大洋洲合計 Total,"93,119","85,700","2,123","72,658","2,730","8,003",186,"7,419","3,136",15,"2,913","1,355"
103,歐洲地區,比利時 Belgium,"5,352","5,187",174,"4,550",51,409,3,165,49,0,58,58
103,歐洲地區,法國 France,"36,379","35,870","1,474","31,254",648,"2,454",40,509,152,11,75,271
103,歐洲地區,德國 Germany,"52,507","50,713","1,835","44,383",740,"3,737",18,"1,794",851,6,652,285
103,歐洲地區,義大利 Italy,"14,895","14,557",509,"12,337",403,"1,290",18,338,126,6,36,170
103,歐洲地區,荷蘭 Netherlands,"18,498","18,027",374,"16,362",241,"1,038",12,471,203,2,72,194
103,歐洲地區,英國 U.K.,"58,201","51,680","1,340","40,432","4,219","5,475",214,"6,521","3,208",16,"2,173","1,124"
103,歐洲地區,西班牙 Spain,"8,403","8,031",265,"7,015",136,608,7,372,126,4,76,166
103,歐洲地區,瑞典 Sweden,"8,083","7,777",262,"6,826",146,531,12,306,195,4,30,77
103,歐洲地區,瑞士 Switzerland,"8,708","8,330",347,"7,339",165,467,12,378,160,1,182,35
103,歐洲地區,奧地利 Austria,"6,063","5,925",214,"5,119",91,499,2,138,47,0,55,36
103,歐洲地區,希臘 Greece,"1,440","1,218",20,833,37,324,4,222,13,45,116,48
103,歐洲地區,俄羅斯 Russian Federation,"8,353","7,745",116,"6,881",179,566,3,608,241,21,237,109
103,歐洲地區,歐洲其他 Others,"37,998","35,763",725,"29,218","1,940","3,861",19,"2,235",696,126,901,512
103,歐洲地區,歐洲合計 Total,"264,880","250,823","7,655","212,549","8,996","21,259",364,"14,057","6,067",242,"4,663","3,085"
103,全區,未列明 Unstated,"6,684","6,134",304,"4,978",148,700,4,550,48,14,234,254
103,全區,總計 Grand Total,"9,910,204","9,431,790","852,176","7,318,335","328,377","885,742","47,160","478,414","85,474","21,308","75,500","296,132"
104,亞洲地區,日本 Japan,"1,627,229","1,610,682","416,888","1,105,751","1,383","85,296","1,364","16,547","7,498",50,529,"8,470"
104,亞洲地區,韓國 Korea,"658,757","655,818","68,009","535,240","17,408","35,143",18,"2,939",175,76,954,"1,734"
104,亞洲地區,香港.澳門 Hong Kong.Macao,"1,513,597","1,480,235","4,504","1,078,845",155960,"227,316","13,610","33,362","4,271","1,612","17,304","10,175"
104,亞洲地區,中國大陸 China,"4,184,102","3,714,073","346,760","2,735,462","188,886","399,666","43,299","470,029","31,625","29,864","18,338","390,202"
104,亞洲地區,東南亞地區 越南 Vietnam,"146,380","144,602",92,"107,640","6,858","30,010",2,"1,778",174,15,"1,528",61
104,亞洲地區,東南亞地區 泰國 Thailand,"124,409","123,614",210,"114,936",187,"8,274",7,795,439,87,218,51
104,亞洲地區,東南亞地區 馬來西亞 Malaysia,"431,481","425,763","1,795","402,149","1,663","1,021",25,"5,718","1,111",58,792,"3,757"
104,亞洲地區,東南亞地區 新加坡 Singapore,"393,037","387,682","2,985","360,221","1,690","22,735",51,"5,355",799,91,582,"3,883"
104,亞洲地區,東南亞地區 菲律賓 Philippines,"139,217","129,087",249,"108,203",533,"20,081",21,"10,130","1,617",791,"6,701","1,021"
104,亞洲地區,東南亞地區 印尼 Indonesia,"177,743","167,640",388,"140,882",541,"25,780",49,"10,103",511,111,"5,920","3,561"
104,亞洲地區,東南亞地區 東南亞其他地區 Others,"13,218","11,971",335,"10,434",34,"1,167",1,"1,247",45,162,859,181
104,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"1,425,485","1,390,359","6,054","1,244,465","11,506","128,178",156,"35,126","4,696","1,315","16,600","12,515"
104,亞洲地區,印度 India,"32,198","27,995",218,"24,602",499,"2,671",5,"4,203",324,238,"3,280",361
104,亞洲地區,中東 Middle East,"18,753","18,312",437,"16,794",164,909,8,441,243,12,132,54
104,亞洲地區,亞洲其他 Others,"9,438","8,984",75,"8,152",103,648,6,454,140,29,198,87
104,亞洲地區,亞洲合計 Total,"9,469,559","8,906,458","842,945","6,749,311","375,909","879,827","58,466","563,101","48,972","33,196","57,335","423,598"
104,非洲地區,南非 S. Africa,"4,893","4,757",80,"4,093",107,475,2,136,114,4,7,11
104,非洲地區,非洲其他 Others,"5,267","5,169",64,"4,656",96,350,3,98,22,9,65,2
104,非洲地區,非洲合計 Total,"10,160","9,926",144,"8,749",203,825,5,234,136,13,72,13
104,美洲地區,美國 USA,"479,452","467,732","20,042","423,563","4,165","19,549",413,"11,720","5,840",128,"1,329","4,423"
104,美洲地區,加拿大 Canada,"90,666","86,051","2,842","72,810","3,679","6,429",291,"4,615","2,388",67,859,"1,301"
104,美洲地區,墨西哥 Mexico,"3,063","2,842",62,"2,566",28,185,1,221,173,3,33,12
104,美洲地區,阿根廷 Argentina,"1,189","1,150",33,"1,045",16,55,1,39,27,0,10,2
104,美洲地區,巴西 Brazil,"4,120","3,832",104,"3,425",61,239,3,288,219,1,61,7
104,美洲地區,美洲其他 Others,"9,702","9,467",262,"8,499",98,599,9,235,154,3,28,50
104,美洲地區,美洲合計 Total,"588,192","571,074","23,345","511,908","8,047","27,056",718,"17,118","8,801",202,"2,320","5,795"
104,大洋洲地區,澳洲 Australia,"76,122","70,540","1,808","59,785","2,407","6,359",181,"5,582","3,643",42,594,"1,303"
104,大洋洲地區,紐西蘭 New Zealand,"12,805","12,265",424,"10,330",370,"1,120",21,540,321,7,73,139
104,大洋洲地區,大洋洲其他 Others,"1,886","1,791",53,"1,590",9,139,0,95,0,0,94,1
104,大洋洲地區,大洋洲合計 Total,"90,813","84,596","2,285","71,705","2,786","7,618",202,"6,217","3,964",49,761,"1,443"
104,歐洲地區,比利時 Belgium,"6,101","5,686",177,"5,037",82,383,7,415,119,16,204,76
104,歐洲地區,法國 France,"38,364","37,904","1,489","33,222",641,"2,505",47,460,224,14,51,171
104,歐洲地區,德國 Germany,"54,954","53,346","1,833","47,018",789,"3,683",23,"1,608",623,21,658,306
104,歐洲地區,義大利 Italy,"15,615","15,229",487,"12,929",431,"1,368",14,386,158,11,45,172
104,歐洲地區,荷蘭 Netherlands,"19,267","18,676",419,"17,027",268,951,11,591,242,21,128,200
104,歐洲地區,英國 U.K.,"58,784","53,043","1,350","42,616","4,155","4,646",276,"5,741","3,714",105,"1,158",764
104,歐洲地區,西班牙 Spain,"9,065","8,657",306,"7,387",129,833,2,408,202,8,30,168
104,歐洲地區,瑞典 Sweden,"8,106","7,852",287,"6,950",109,500,6,254,122,2,23,107
104,歐洲地區,瑞士 Switzerland,"9,453","9,261",367,"8,127",194,568,5,192,103,4,54,31
104,歐洲地區,奧地利 Austria,"6,243","6,091",183,"5,392",93,420,3,152,87,1,23,41
104,歐洲地區,希臘 Greece,"1,465","1,159",35,819,42,263,0,306,27,48,181,50
104,歐洲地區,俄羅斯 Russian Federation,"7,808","7,358",122,"6,652",150,427,7,450,250,10,122,68
104,歐洲地區,歐洲其他 Others,"38,810","36,649",696,"30,878","1,482","3,561",32,"2,161",704,156,805,496
104,歐洲地區,歐洲合計 Total,"274,035","260,911","7,751","224,054","8,565","20,108",433,"13,124","6,575",417,"3,482","2,650"
104,全區,未列明 Unstated,"7,026","6,388",324,"5,096",103,863,2,638,25,7,377,229
104,全區,總計 Grand Total,"10,439,785","9,839,353","876,794","7,570,823","395,613","936,297","59,826","600,432","68,473","33,884","64,347","433,728"
105,亞洲地區,日本 Japan,"1,895,702","1,876,680","433,723","1,337,906","1,525","98,890","4,636","19,022","15,413",466,961,"2,182"
105,亞洲地區,韓國 Korea,"884,397","881,574","67,335","777,002","3,100","34,094",43,"2,823",892,85,488,"1,358"
105,亞洲地區,香港.澳門 Hong Kong.Macao,"1,614,803","1,594,547","4,733","1,180,546",163489,"231,176","14,603","1,146","3,109",49,"6,909","10,189"
105,亞洲地區,中國大陸 China,"3,511,734","3,096,513","308,706","2,283,485","123,344","358,683","22,295","415,221","10,562","12,701","4,602","387,356"
105,亞洲地區,東南亞地區 越南 Vietnam,"196,636","195,069",330,"151,683","7,822","31,110","4,124","1,567",229,6,"1,294",38
105,亞洲地區,東南亞地區 泰國 Thailand,"195,640","194,300",252,"184,459",331,"9,242",16,"1,340","1,124",2,83,131
105,亞洲地區,東南亞地區 馬來西亞 Malaysia,"474,420","468,314","1,919","432,647","1,511","32,156",81,"6,106","2,362",39,243,"3,462"
105,亞洲地區,東南亞地區 新加坡 Singapore,"407,267","401,547","2,788","363,039","1,778","33,878",64,"5,720",968,10,549,"4,193"
105,亞洲地區,東南亞地區 菲律賓 Philippines,"172,475","162,410",305,"139,812",587,"21,675",31,"10,065","1,838",823,"6,345","1,059"
105,亞洲地區,東南亞地區 印尼 Indonesia,"188,720","178,117",442,"148,677",814,"28,113",71,"10,603",548,172,"6,380","3,503"
105,亞洲地區,東南亞地區 東南亞其他地區 Others,"18,750","17,436",681,"15,214",68,"1,448",25,"1,314",91,134,824,265
105,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"1,653,908","1,617,193","6,717","1,435,531","12,911","157,622","4,412","36,715","7,160","1,186","15,718","12,651"
105,亞洲地區,印度 India,"33,550","31,684",330,"27,411",768,"3,148",27,"1,866",308,213,945,400
105,亞洲地區,中東 Middle East,"19,862","19,525",470,"18,033",168,842,12,337,197,26,41,73
105,亞洲地區,亞洲其他 Others,"10,837","10,408",99,"9,385",136,774,14,429,162,6,195,66
105,亞洲地區,亞洲合計 Total,"9,624,793","9,128,124","822,113","7,069,299","305,441","885,229","46,042","496,669","37,803","14,732","29,859","414,275"
105,非洲地區,南非 S. Africa,"5,077","5,003",70,"4,334",80,510,9,74,53,0,11,10
105,非洲地區,非洲其他 Others,"5,591","5,483",58,"4,830",112,477,6,108,5,7,90,6
105,非洲地區,非洲合計 Total,"10,668","10,486",128,"9,164",192,987,15,182,58,7,101,16
105,美洲地區,美國 USA,"523,888","513,901","21,352","466,273","4,612","21,132",532,"9,987","4,507",56,611,"4,813"
105,美洲地區,加拿大 Canada,"106,197","102,811","3,380","89,047","3,507","6,546",331,"3,386","1,467",8,351,"1,560"
105,美洲地區,墨西哥 Mexico,"3,138","3,011",88,"2,700",37,184,2,127,113,0,7,7
105,美洲地區,阿根廷 Argentina,"1,281","1,233",36,"1,088",21,88,0,48,38,0,3,7
105,美洲地區,巴西 Brazil,"4,171","4,060",122,"3,618",55,257,8,111,103,1,1,6
105,美洲地區,美洲其他 Others,"10,662","10,501",271,"9,489",97,633,11,161,92,1,45,23
105,美洲地區,美洲合計 Total,"649,337","635,517","25,249","572,215","8,329","28,840",884,"13,820","6,320",66,"1,018","6,416"
105,大洋洲地區,澳洲 Australia,"82,361","76,144","1,843","65,240","2,356","6,543",162,"6,217","4,934",15,192,"1,076"
105,大洋洲地區,紐西蘭 New Zealand,"13,676","13,135",373,"11,254",317,"1,151",40,541,382,2,20,137
105,大洋洲地區,大洋洲其他 Others,"2,189","2,137",33,"1,926",4,174,0,52,0,1,50,1
105,大洋洲地區,大洋洲合計 Total,"98,226","91,416","2,249","78,420","2,677","7,868",202,"6,810","5,316",18,262,"1,214"
105,歐洲地區,比利時 Belgium,"6,627","6,424",182,"5,681",85,465,11,203,48,6,46,103
105,歐洲地區,法國 France,"42,380","41,838","1,608","36,926",600,"2,633",71,542,284,31,46,181
105,歐洲地區,德國 Germany,"59,798","58,181","2,148","51,333",801,"3,840",59,"1,617",398,10,821,388
105,歐洲地區,義大利 Italy,"17,102","16,709",544,"14,278",371,"1,494",22,393,147,8,29,209
105,歐洲地區,荷蘭 Netherlands,"23,254","22,630",454,"20,568",300,"1,291",17,624,133,11,287,193
105,歐洲地區,英國 U.K.,"59,867","56,067","1,336","46,440","3,769","4,309",213,"3,800","2,493",24,493,790
105,歐洲地區,西班牙 Spain,"10,686","10,391",334,"8,961",210,879,7,295,94,8,31,162
105,歐洲地區,瑞典 Sweden,"8,744","8,536",325,"7,475",113,609,14,208,126,2,10,70
