年度,居住地,細分,合計,商人,秘書職員,專門技術,文化工作,家庭主婦,軍公職,其他,未列明
109,亞洲地區,韓國 Korea,"178,911","11,370","16,615","5,329","44,894","11,156","2,549","14,169","72,829"
109,亞洲地區,香港.澳門 Hong Kong.Macao,"177,654","15,611","2,869","1,184","26,072","12,475",588,"24,733","94,122"
109,亞洲地區,中國大陸 China,"111,050","33,447","1,547",599,"8,222","33,551",436,"13,464","19,784"
109,亞洲地區,東南亞地區 越南 Vietnam,"110,882","1,875","2,468",759,"2,851","2,433",315,"2,480","97,701"
109,亞洲地區,東南亞地區 泰國 Thailand,"63,553","5,962","11,043","1,211","3,574","1,603",891,"6,477","32,792"
109,亞洲地區,東南亞地區 馬來西亞 Malaysia,"72,705","8,575","4,781","2,800","7,171","4,400",143,"9,372","35,463"
109,亞洲地區,東南亞地區 新加坡 Singapore,"49,946","9,412","4,687","3,204","6,047","3,727","1,042","10,000","11,827"
109,亞洲地區,東南亞地區 菲律賓 Philippines,"77,065","6,466","5,155","5,681","4,607","4,680",563,"11,995","37,918"
109,亞洲地區,東南亞地區 印尼 Indonesia,"55,717",936,"1,139","4,275","1,357","1,013",53,"1,439","45,505"
109,亞洲地區,東南亞地區 東南亞其他地區 Others,"5,515",315,257,"1,292",323,211,25,388,"2,704"
109,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"435,383","33,541","29,530","19,222","25,930","18,067","3,032","42,151","263,910"
109,亞洲地區,印度 India,"6,606",354,179,633,411,147,14,501,"4,367"
109,亞洲地區,中東 Middle East,"2,737",264,142,356,215,102,6,481,"1,171"
109,亞洲地區,亞洲其他 Others,"1,987",200,82,86,305,31,3,202,"1,078"
109,亞洲地區,亞洲合計 Total,"1,183,987","107,294","138,916","33,741","142,612","95,930","10,616","118,240","536,638"
109,非洲地區,南非 S. Africa,"1,258",61,21,45,107,53,2,161,808
109,非洲地區,非洲其他 Others,"1,244",132,32,48,91,8,4,116,813
109,非洲地區,非洲合計 Total,"2,502",193,53,93,198,61,6,277,"1,621"
109,美洲地區,美國 USA,"82,872","7,662","5,267","7,503","10,065","7,900",367,"15,270","28,838"
109,美洲地區,加拿大 Canada,"18,857","1,676","1,563",875,"1,901","2,131",80,"4,181","6,450"
109,美洲地區,墨西哥 Mexico,600,46,51,44,82,18,1,69,289
109,美洲地區,阿根廷 Argentina,272,9,24,15,53,11,1,48,111
109,美洲地區,巴西 Brazil,823,64,35,61,161,24,3,159,316
109,美洲地區,美洲其他 Others,"2,693",114,93,140,314,57,11,307,"1,657"
109,美洲地區,美洲合計 Total,"106,117","9,571","7,033","8,638","12,576","10,141",463,"20,034","37,661"
109,大洋洲地區,澳洲 Australia,"18,906","1,620","1,408",689,"3,610","1,485",135,"3,554","6,405"
109,大洋洲地區,紐西蘭 New Zealand,"3,093",302,240,127,561,246,17,696,904
109,大洋洲地區,大洋洲其他 Others,607,36,23,37,50,80,11,106,264
109,大洋洲地區,大洋洲合計 Total,"22,606","1,958","1,671",853,"4,221","1,811",163,"4,356","7,573"
109,歐洲地區,比利時 Belgium,"1,602",105,111,282,164,51,11,219,659
109,歐洲地區,法國 France,"8,975",581,554,502,"1,314",424,28,"1,654","3,918"
109,歐洲地區,德國 Germany,"9,361",847,621,"1,006","1,476",233,40,"1,481","3,657"
109,歐洲地區,義大利 Italy,"2,267",207,236,167,264,67,1,379,946
109,歐洲地區,荷蘭 Netherlands,"5,311",617,350,897,473,177,31,"1,039","1,727"
109,歐洲地區,英國 U.K.,"11,879","1,194",922,898,"1,165",807,59,"2,203","4,631"
109,歐洲地區,西班牙 Spain,111,156,94,221,322,58,11,371,789
109,歐洲地區,瑞典 Sweden,"1,499",136,112,147,208,81,5,277,533
109,歐洲地區,瑞士 Switzerland,"1,491",160,110,103,205,67,1,301,544
109,歐洲地區,奧地利 Austria,"1,622",152,130,189,227,101,8,265,550
109,歐洲地區,希臘 Greece,280,19,13,45,11,2,0,48,142
109,歐洲地區,俄羅斯 Russian Federation,"2,939",373,109,248,228,54,3,501,"1,423"
109,歐洲地區,歐洲其他 Others,"10,264",859,560,"1,169","1,192",233,41,"1,728","4,482"
109,歐洲地區,歐洲合計 Total,"59,512","5,406","3,922","5,874","7,249","2,355",239,"10,466","24,001"
109,全區,其他 Others,"3,137",10,5,22,65,101,2,23,"2,909"
109,全區,總計 Grand Total,"1,377,861","124,432","151,600","49,221","166,921","110,399","11,489","153,396","610,403"
110,亞洲地區,日本 Japan,"10,056",125,"1,271",309,190,152,6,257,"7,746"
110,亞洲地區,韓國 Korea,"3,300",103,120,208,204,37,5,130,"2,493"
110,亞洲地區,香港.澳門 Hong Kong.Macao,"10,760","1,493",41,33,"4,317","1,349",22,"1,476","2,029"
110,亞洲地區,中國大陸 China,"13,267","1,417",3,0,"1,072","5,887",14,"2,108","2,766"
110,亞洲地區,東南亞地區 越南 Vietnam,"24,935",1,20,99,92,202,0,133,"24,388"
110,亞洲地區,東南亞地區 泰國 Thailand,"7,570",21,48,32,26,20,0,30,"7,393"
110,亞洲地區,東南亞地區 馬來西亞 Malaysia,"6,205",87,52,559,40,24,0,244,"5,199"
110,亞洲地區,東南亞地區 新加坡 Singapore,"2,417",149,58,104,39,48,151,101,"1,767"
110,亞洲地區,東南亞地區 菲律賓 Philippines,"9,183",17,56,"1,818",26,53,0,125,"7,088"
110,亞洲地區,東南亞地區 印尼 Indonesia,"13,819",25,67,"2,730",51,54,3,224,"10,665"
110,亞洲地區,東南亞地區 東南亞其他地區 Others,"1,180",21,8,258,21,10,0,28,834
110,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"65,309",321,309,"5,600",295,411,154,885,"57,334"
110,亞洲地區,印度 India,"1,930",17,23,88,24,12,0,50,"1,716"
110,亞洲地區,中東 Middle East,696,29,8,42,10,5,0,35,567
110,亞洲地區,亞洲其他 Others,678,10,8,8,18,4,0,21,609
110,亞洲地區,亞洲合計 Total,"105,996","3,515","1,783","6,288","6,130","7,857",201,"4,962","75,260"
110,非洲地區,南非 S. Africa,355,4,4,22,10,4,0,33,278
110,非洲地區,非洲其他 Others,546,15,9,7,11,2,0,15,487
110,非洲地區,非洲合計 Total,901,19,13,29,21,6,0,48,765
110,美洲地區,美國 USA,"11,981",266,272,420,513,442,11,601,"9,456"
110,美洲地區,加拿大 Canada,"1,178",45,43,35,33,42,5,77,898
110,美洲地區,墨西哥 Mexico,181,3,9,17,10,4,0,7,131
110,美洲地區,阿根廷 Argentina,52,0,1,1,1,3,1,2,43
110,美洲地區,巴西 Brazil,171,7,7,3,12,8,0,12,122
110,美洲地區,美洲其他 Others,"1,079",7,9,31,27,5,1,24,975
110,美洲地區,美洲合計 Total,"14,642",328,341,507,596,504,18,723,"11,625"
110,大洋洲地區,澳洲 Australia,568,17,13,16,16,21,5,43,437
110,大洋洲地區,紐西蘭 New Zealand,159,3,4,14,3,3,1,19,112
110,大洋洲地區,大洋洲其他 Others,631,6,12,17,13,29,6,41,507
110,大洋洲地區,大洋洲合計 Total,"1,358",26,29,47,32,53,12,103,"1,056"
110,歐洲地區,比利時 Belgium,681,4,19,104,2,4,1,61,486
110,歐洲地區,法國 France,"1,567",38,43,46,41,21,0,139,"1,239"
110,歐洲地區,德國 Germany,"1,937",59,53,136,51,20,0,134,"1,484"
110,歐洲地區,義大利 Italy,539,11,11,29,10,3,0,70,405
110,歐洲地區,荷蘭 Netherlands,"2,070",49,63,304,9,5,2,156,"1,482"
110,歐洲地區,英國 U.K.,"2,964",55,90,197,36,20,1,299,"2,266"
110,歐洲地區,西班牙 Spain,423,9,13,30,5,4,0,27,335
110,歐洲地區,瑞典 Sweden,279,5,9,12,4,1,1,22,225
110,歐洲地區,瑞士 Switzerland,216,10,7,6,2,3,0,12,176
110,歐洲地區,奧地利 Austria,248,6,7,33,5,1,0,13,183
110,歐洲地區,希臘 Greece,71,1,1,8,1,0,0,3,57
110,歐洲地區,俄羅斯 Russian Federation,724,17,14,83,5,6,0,68,531
110,歐洲地區,歐洲其他 Others,"4,694",65,84,417,39,12,0,389,"3,688"
110,歐洲地區,歐洲合計 Total,"16,413",329,414,"1,405",210,100,5,"1,393","12,557"
110,全區,其他 Others,"1,169",1,0,5,2,95,0,2,"1,064"
110,全區,總計 Grand Total,"140,479","4,218","2,580","8,281","6,991","8,615",236,"7,231","102,327"
111,亞洲地區,日本 Japan,"87,616",63,15,3,56,98,1,25,"87,355"
111,亞洲地區,韓國 Korea,"51,748",72,0,0,92,64,1,29,"51,490"
111,亞洲地區,香港.澳門 Hong Kong.Macao,"32,621","6,705","1,344",503,"6,650","3,954",224,"3,294","9,947"
111,亞洲地區,中國大陸 China,"24,378","4,501",9,7,"1,841","10,157",24,"3,754","4,085"
111,亞洲地區,東南亞地區 越南 Vietnam,"134,818",18,0,0,43,305,0,54,"134,398"
111,亞洲地區,東南亞地區 泰國 Thailand,"74,434",22,2,1,18,45,0,34,"74,312"
111,亞洲地區,東南亞地區 馬來西亞 Malaysia,"59,035",39,4,3,25,30,0,21,"58,913"
111,亞洲地區,東南亞地區 新加坡 Singapore,"69,507",55,6,3,18,26,417,8,"68,974"
111,亞洲地區,東南亞地區 菲律賓 Philippines,"64,038",38,0,0,28,48,0,42,"63,882"
111,亞洲地區,東南亞地區 印尼 Indonesia,"78,162",10,1,2,19,27,0,3,"78,100"
111,亞洲地區,東南亞地區 東南亞其他地區 Others,"4,047",13,0,0,21,15,0,9,"3,989"
111,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"484,041",195,13,9,172,496,417,171,"482,568"
111,亞洲地區,印度 India,"9,390",6,0,0,0,3,0,3,"9,378"
111,亞洲地區,中東 Middle East,"3,461",4,0,1,2,10,0,5,"3,439"
111,亞洲地區,亞洲其他 Others,"3,537",3,0,1,2,1,0,1,"3,529"
111,亞洲地區,亞洲合計 Total,"696,792","11,549","1,381",524,"8,815","14,783",667,"7,282","651,791"
111,非洲地區,南非 S. Africa,"1,625",5,0,0,8,11,0,0,"1,601"
111,非洲地區,非洲其他 Others,"1,785",1,0,0,0,1,0,5,"1,778"
111,非洲地區,非洲合計 Total,"3,410",6,0,0,8,12,0,5,"3,379"
111,美洲地區,美國 USA,"90,614",135,13,12,366,445,1,156,"89,486"
111,美洲地區,加拿大 Canada,"13,244",18,4,0,43,78,0,9,"13,092"
111,美洲地區,墨西哥 Mexico,713,0,0,0,3,4,0,0,706
111,美洲地區,阿根廷 Argentina,195,0,0,0,11,9,0,1,174
111,美洲地區,巴西 Brazil,723,3,1,0,17,6,0,4,692
111,美洲地區,美洲其他 Others,"3,353",11,0,1,8,6,0,2,"3,325"
111,美洲地區,美洲合計 Total,"108,842",167,18,13,448,548,1,172,"107,475"
111,大洋洲地區,澳洲 Australia,"11,509",13,1,2,21,118,0,8,"11,346"
111,大洋洲地區,紐西蘭 New Zealand,"2,792",1,0,0,8,20,0,2,"2,761"
111,大洋洲地區,大洋洲其他 Others,619,0,0,0,0,2,1,2,614
111,大洋洲地區,大洋洲合計 Total,"14,920",14,1,2,29,140,1,12,"14,721"
111,歐洲地區,比利時 Belgium,"1,879",0,1,0,0,4,0,0,"1,874"
111,歐洲地區,法國 France,"8,349",3,0,1,9,17,0,3,"8,316"
111,歐洲地區,德國 Germany,"10,811",3,0,3,12,21,0,3,"10,769"
111,歐洲地區,義大利 Italy,"3,011",2,0,1,3,3,0,0,"3,002"
111,歐洲地區,荷蘭 Netherlands,"6,190",3,1,4,1,11,0,0,"6,170"
111,歐洲地區,英國 U.K.,"13,723",27,2,4,29,45,1,7,"13,608"
111,歐洲地區,西班牙 Spain,"1,962",1,0,1,2,11,0,3,"1,944"
111,歐洲地區,瑞典 Sweden,"1,429",0,0,0,2,6,0,1,"1,420"
111,歐洲地區,瑞士 Switzerland,"1,602",1,0,0,4,4,0,1,"1,592"
111,歐洲地區,奧地利 Austria,"1,470",2,0,1,1,3,0,1,"1,462"
111,歐洲地區,希臘 Greece,260,0,0,0,0,0,0,0,260
111,歐洲地區,俄羅斯 Russian Federation,"1,786",0,1,2,0,1,0,1,"1,781"
111,歐洲地區,歐洲其他 Others,"13,518",1,1,1,1,17,0,2,"13,495"
111,歐洲地區,歐洲合計 Total,"65,990",43,6,18,64,143,1,22,"65,693"
111,全區,其他 Others,"6,008",4,2,0,10,184,0,4,"5,804"
111,全區,總計 Grand Total,"895,962","11,783","1,408",557,"9,374","15,810",670,"7,497","848,863"
112,亞洲地區,日本 Japan,"928,235",140,26,3,166,183,2,106,"927,609"
112,亞洲地區,韓國 Korea,"744,727",276,1,0,344,197,1,126,"743,782"
112,亞洲地區,香港.澳門 Hong Kong.Macao,"1,199,572","78,747","16,391","5,679","121,585","67,834","5,641","140,049","763,646"
112,亞洲地區,中國大陸 China,"226,269","45,121","5,231","2,099","20,454","88,754",269,"28,832","35,509"
112,亞洲地區,東南亞地區 越南 Vietnam,"382,529",61,5,1,106,550,0,112,"381,694"
112,亞洲地區,東南亞地區 泰國 Thailand,"394,688",48,3,1,26,89,0,83,"394,438"
112,亞洲地區,東南亞地區 馬來西亞 Malaysia,"437,491",142,1,3,89,110,0,73,"437,073"
112,亞洲地區,東南亞地區 新加坡 Singapore,"463,893",67,21,13,51,81,704,5,"462,951"
112,亞洲地區,東南亞地區 菲律賓 Philippines,"350,487",225,8,0,126,248,1,214,"349,665"
112,亞洲地區,東南亞地區 印尼 Indonesia,"10,880",45,0,1,53,81,1,22,"10,677"
112,亞洲地區,東南亞地區 東南亞其他地區 Others,"22,415",36,0,0,55,40,0,36,"22,248"
112,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"2,253,483",624,38,19,506,"1,199",706,545,"2,249,846"
112,亞洲地區,印度 India,"31,584",17,0,0,0,4,0,1,"31,562"
112,亞洲地區,中東 Middle East,"15,185",17,0,2,9,18,0,13,"15,126"
112,亞洲地區,亞洲其他 Others,"33,000",11,0,0,2,5,0,3,"32,979"
112,亞洲地區,亞洲合計 Total,"5,432,055","124,953","21,687","7,802","143,066","158,194","6,619","169,675","4,800,059"
112,非洲地區,南非 S. Africa,"4,408",2,0,1,31,27,0,0,"4,347"
112,非洲地區,非洲其他 Others,"4,946",10,0,1,4,5,0,18,"4,908"
112,非洲地區,非洲合計 Total,"9,354",12,0,2,35,32,0,18,"9,255"
112,美洲地區,美國 USA,"529,532",456,31,18,616,576,2,477,"527,356"
112,美洲地區,加拿大 Canada,"92,404",49,7,4,90,124,0,18,"92,112"
112,美洲地區,墨西哥 Mexico,"3,436",0,0,0,2,4,0,0,"3,430"
112,美洲地區,阿根廷 Argentina,842,2,0,0,28,14,0,5,793
112,美洲地區,巴西 Brazil,"3,243",15,0,0,43,16,0,20,"3,149"
112,美洲地區,美洲其他 Others,"10,519",25,0,3,45,24,0,4,"10,418"
112,美洲地區,美洲合計 Total,"639,976",547,38,25,824,758,2,524,"637,258"
112,大洋洲地區,澳洲 Australia,"87,288",38,4,7,66,120,1,21,"87,031"
112,大洋洲地區,紐西蘭 New Zealand,"15,040",8,0,2,14,20,0,9,"14,987"
112,大洋洲地區,大洋洲其他 Others,"1,877",3,0,0,1,0,0,4,"1,869"
112,大洋洲地區,大洋洲合計 Total,"104,205",49,4,9,81,140,1,34,"103,887"
112,歐洲地區,比利時 Belgium,"6,762",3,0,0,3,8,0,2,"6,746"
112,歐洲地區,法國 France,"42,852",5,1,1,14,19,0,17,"42,795"
112,歐洲地區,德國 Germany,"60,704",6,2,0,11,32,0,6,"60,647"
112,歐洲地區,義大利 Italy,"14,330",0,0,1,14,1,0,0,"14,314"
112,歐洲地區,荷蘭 Netherlands,"21,571",0,0,3,1,11,0,0,"21,556"
112,歐洲地區,英國 U.K.,"60,779",31,16,4,58,74,1,23,"60,572"
112,歐洲地區,西班牙 Spain,"9,836",4,0,0,0,10,0,6,"9,816"
112,歐洲地區,瑞典 Sweden,"6,245",2,0,0,0,3,0,3,"6,237"
112,歐洲地區,瑞士 Switzerland,"9,870",2,1,0,15,10,0,1,"9,841"
112,歐洲地區,奧地利 Austria,"8,612",0,0,0,1,2,0,0,"8,609"
112,歐洲地區,希臘 Greece,"1,428",0,0,0,0,0,0,0,"1,428"
112,歐洲地區,俄羅斯 Russian Federation,"5,592",4,0,0,1,1,0,0,"5,586"
112,歐洲地區,歐洲其他 Others,"50,405",1,0,0,4,19,0,2,"50,379"
112,歐洲地區,歐洲合計 Total,"298,986",58,20,9,122,190,1,60,"298,526"
112,全區,其他 Others,"2,375",63,19,9,92,458,0,35,"1,699"
112,全區,總計 Grand Total,"6,486,951","125,682","21,768","7,856","144,220","159,772","6,623","170,346","5,850,684"
113,亞洲地區,日本 Japan,"1,319,592",100,35,8,131,196,1,101,"1,319,020"
113,亞洲地區,韓國 Korea,"1,003,086",169,1,0,337,153,0,123,"1,002,303"
113,亞洲地區,香港.澳門 Hong Kong.Macao,"1,310,977","88,542","19,963","6,695","138,107","67,361","5,570","147,710","837,029"
113,亞洲地區,中國大陸 China,"438,212","105,123","20,539","7,915","6,111","131,800",960,"45,563","64,290"
113,亞洲地區,東南亞地區 越南 Vietnam,"370,548",51,1,1,72,321,0,77,"370,025"
113,亞洲地區,東南亞地區 泰國 Thailand,"400,038",38,0,0,52,68,0,39,"399,841"
113,亞洲地區,東南亞地區 馬來西亞 Malaysia,"429,727",116,4,0,83,111,0,77,"429,336"
113,亞洲地區,東南亞地區 新加坡 Singapore,"447,841",57,30,2,57,79,"1,181",5,"446,430"
113,亞洲地區,東南亞地區 菲律賓 Philippines,"467,157",178,8,2,141,190,0,164,"466,474"
113,亞洲地區,東南亞地區 印尼 Indonesia,"224,477",22,1,0,32,47,1,16,"224,358"
113,亞洲地區,東南亞地區 東南亞其他地區 Others,"25,603",53,0,0,45,53,0,32,"25,420"
113,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"2,365,391",515,44,5,482,869,"1,182",410,"2,361,884"
113,亞洲地區,印度 India,"38,158",6,0,0,0,3,0,4,"38,145"
113,亞洲地區,中東 Middle East,"20,022",12,0,0,9,9,0,16,"19,976"
113,亞洲地區,亞洲其他 Others,"82,101",10,0,0,1,10,0,5,"82,075"
113,亞洲地區,亞洲合計 Total,"6,577,539","194,477","40,582","14,623","201,089","200,401","7,713","193,932","5,724,722"
113,非洲地區,南非 S. Africa,"4,815",5,0,0,26,18,0,3,"4,763"
113,非洲地區,非洲其他 Others,"6,725",9,0,0,1,6,0,15,"6,694"
113,非洲地區,非洲合計 Total,"11,540",14,0,0,27,24,0,18,"11,457"
113,美洲地區,美國 USA,"651,264",469,31,20,598,499,1,478,"649,168"
113,美洲地區,加拿大 Canada,"112,137",56,23,3,79,57,2,28,"111,889"
113,美洲地區,墨西哥 Mexico,"4,403",0,0,0,3,1,0,0,"4,399"
113,美洲地區,阿根廷 Argentina,"1,089",3,0,0,9,5,0,7,"1,065"
113,美洲地區,巴西 Brazil,"4,258",21,0,0,30,20,0,27,"4,160"
113,美洲地區,美洲其他 Others,"11,704",33,0,0,25,14,0,6,"11,626"
113,美洲地區,美洲合計 Total,"784,855",582,54,23,744,596,3,546,"782,307"
113,大洋洲地區,澳洲 Australia,"112,547",41,7,11,58,65,1,19,"112,345"
113,大洋洲地區,紐西蘭 New Zealand,"17,053",2,2,10,4,9,0,5,"17,021"
113,大洋洲地區,大洋洲其他 Others,"2,120",3,0,0,0,0,0,0,"2,117"
113,大洋洲地區,大洋洲合計 Total,"131,720",46,9,21,62,74,1,24,"131,483"
113,歐洲地區,比利時 Belgium,"7,976",0,0,0,3,2,0,0,"7,971"
113,歐洲地區,法國 France,"49,853",6,0,1,16,12,0,8,"49,810"
113,歐洲地區,德國 Germany,"73,680",5,0,6,15,23,0,2,"73,629"
113,歐洲地區,義大利 Italy,"16,752",0,0,0,5,4,0,0,"16,743"
113,歐洲地區,荷蘭 Netherlands,"24,602",0,0,2,0,4,0,3,"24,593"
113,歐洲地區,英國 U.K.,"67,882",6,12,2,57,70,3,27,"67,705"
113,歐洲地區,西班牙 Spain,"12,914",4,0,0,1,11,0,8,"12,890"
113,歐洲地區,瑞典 Sweden,"7,174",0,0,0,1,3,0,5,"7,165"
113,歐洲地區,瑞士 Switzerland,"12,471",1,0,0,8,8,0,1,"12,453"
113,歐洲地區,奧地利 Austria,"9,860",0,0,0,0,2,0,0,"9,858"
113,歐洲地區,希臘 Greece,"1,691",0,0,0,0,0,0,0,"1,691"
113,歐洲地區,俄羅斯 Russian Federation,"6,821",2,0,0,0,8,0,2,"6,809"
113,歐洲地區,歐洲其他 Others,"58,305",0,0,0,5,25,0,7,"58,268"
113,歐洲地區,歐洲合計 Total,"349,981",24,12,11,111,172,3,63,"349,585"
113,全區,其他 Others,"2,051",79,34,6,103,417,0,46,"1,366"
113,全區,總計 Grand Total,"7,857,686","195,222","40,691","14,684","11,036","10,584","7,720","194,629","7,000,920"
